#{"t_start": 1754808863.7766008, "env_id": "None"}
r,l,t
284.54733,299,747.165445
279.73602,299,747.493012
281.9009,299,747.806386
290.1532,299,749.317169
286.7821,299,749.603699
282.85403,299,749.915397
276.94168,299,750.224779
284.6687,299,750.538162
288.4564,299,750.825625
276.49106,299,751.127127
286.02927,299,752.579772
284.5914,299,752.852338
275.02005,299,753.206368
273.22565,299,753.485409
287.27866,299,753.772743
285.35812,299,754.053937
268.3572,299,754.355593
283.431,299,755.771574
277.65585,299,756.079294
289.03217,299,756.432697
287.1733,299,756.78386
275.8896,299,757.069029
286.94415,299,757.391316
280.3365,299,757.720779
273.03613,299,759.158833
284.76703,299,759.479308
282.59937,299,759.768078
284.64532,299,760.075961
272.05188,299,760.398879
286.96823,299,760.730145
280.60828,299,761.061784
282.23312,299,762.543406
276.5089,299,762.817422
283.79138,299,763.122664
280.6618,299,763.398717
273.80115,299,763.691746
280.6746,299,763.986646
289.5618,299,764.276247
290.47433,299,765.756542
287.82657,299,766.049533
282.30173,299,766.34893
284.99316,299,766.635489
286.3852,299,766.972703
272.61813,299,767.273079
284.8209,299,767.596609
285.79492,299,769.01938
284.52713,299,769.311211
290.04684,299,769.595541
280.98804,299,769.917946
288.87714,299,770.246286
282.3704,299,770.543817
